cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,new_date
7.0,0.0,14.0,15.8,9.9,6.0,3.8,100330.0,0.0,2018-12-01
7.0,1.2,25.0,13.7,12.7,9.6,0.0,99720.0,0.0,2018-12-02
6.0,1.5,27.0,10.4,12.2,10.8,2.8,100110.0,0.0,2018-12-03
4.0,3.0,35.0,13.1,6.0,1.5,4.0,102060.0,0.0,2018-12-04
8.0,0.0,13.0,13.3,8.4,3.8,1.0,101410.0,0.0,2018-12-05
8.0,0.0,13.0,12.4,11.3,9.3,4.2,101360.0,0.0,2018-12-06
5.0,1.1,23.0,12.5,12.0,11.6,3.6,100380.0,0.0,2018-12-07
4.0,0.7,20.0,11.0,9.7,6.8,1.6,100240.0,0.0,2018-12-08
5.0,3.3,35.0,9.4,9.8,8.5,1.2,100930.0,0.0,2018-12-09
7.0,0.0,12.0,9.3,6.8,4.3,0.0,102660.0,0.0,2018-12-10
1.0,5.0,43.0,7.6,5.5,1.7,0.0,102500.0,0.0,2018-12-11
5.0,0.2,15.0,5.5,5.5,3.4,0.0,102160.0,0.0,2018-12-12
0.0,5.1,43.0,5.1,3.4,1.2,0.0,101800.0,0.0,2018-12-13
6.0,2.0,28.0,8.1,1.9,-1.2,0.0,102290.0,0.0,2018-12-14
7.0,0.0,12.0,9.4,3.9,-0.4,10.4,101230.0,0.0,2018-12-15
3.0,1.4,24.0,10.7,5.9,2.4,4.2,100590.0,0.0,2018-12-16
3.0,4.3,39.0,10.4,7.0,3.4,0.0,101600.0,0.0,2018-12-17
8.0,0.0,12.0,9.9,7.6,4.8,8.6,100910.0,0.0,2018-12-18
5.0,1.8,26.0,13.2,7.8,5.6,0.8,100450.0,0.0,2018-12-19
6.0,1.9,27.0,12.9,9.5,5.8,7.0,100580.0,0.0,2018-12-20
8.0,0.3,16.0,12.0,10.1,7.2,0.4,100120.0,0.0,2018-12-21
4.0,1.5,25.0,13.2,10.4,8.8,3.8,101540.0,0.0,2018-12-22
8.0,0.0,12.0,8.3,9.8,6.5,2.8,101780.0,0.0,2018-12-23
5.0,2.1,28.0,8.6,6.5,4.7,0.2,103180.0,0.0,2018-12-24
7.0,0.0,12.0,9.6,4.9,1.2,0.2,103440.0,0.0,2018-12-25
8.0,0.0,12.0,7.9,6.8,4.0,0.0,103060.0,0.0,2018-12-26
6.0,2.5,31.0,10.8,5.4,2.9,0.0,102650.0,0.0,2018-12-27
8.0,1.4,24.0,12.3,6.9,3.0,0.0,103050.0,0.0,2018-12-28
7.0,0.0,12.0,10.4,9.8,7.3,0.0,103240.0,0.0,2018-12-29
8.0,0.0,12.0,10.1,8.4,6.5,0.0,103520.0,0.0,2018-12-30
